group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
depth 5,,,,,43623924.0,ns,9
depth 5,,,,,54344856.0,ns,9
depth 5,,,,,53635556.0,ns,9
depth 5,,,,,54969766.0,ns,9
depth 5,,,,,53164434.0,ns,9
depth 5,,,,,59243529.0,ns,9
depth 5,,,,,46973036.0,ns,9
depth 5,,,,,51826831.0,ns,9
depth 5,,,,,51501631.0,ns,9
depth 5,,,,,48707919.0,ns,9
depth 5,,,,,54093397.0,ns,9
depth 5,,,,,49781155.0,ns,9
depth 5,,,,,49672794.0,ns,9
depth 5,,,,,59051947.0,ns,9
depth 5,,,,,52270896.0,ns,9
depth 5,,,,,49193604.0,ns,9
depth 5,,,,,48542624.0,ns,9
depth 5,,,,,53415085.0,ns,9
depth 5,,,,,54221031.0,ns,9
depth 5,,,,,51684599.0,ns,9
depth 5,,,,,51886997.0,ns,9
depth 5,,,,,52810706.0,ns,9
depth 5,,,,,55841699.0,ns,9
depth 5,,,,,50221765.0,ns,9
depth 5,,,,,56714519.0,ns,9
depth 5,,,,,52833090.0,ns,9
depth 5,,,,,49127230.0,ns,9
depth 5,,,,,54452972.0,ns,9
depth 5,,,,,47433579.0,ns,9
depth 5,,,,,48928641.0,ns,9
depth 5,,,,,53181016.0,ns,9
depth 5,,,,,51823436.0,ns,9
depth 5,,,,,57420663.0,ns,9
depth 5,,,,,52124750.0,ns,9
depth 5,,,,,49111335.0,ns,9
depth 5,,,,,58535742.0,ns,9
depth 5,,,,,53475140.0,ns,9
depth 5,,,,,58134277.0,ns,9
depth 5,,,,,51199308.0,ns,9
depth 5,,,,,54543111.0,ns,9
depth 5,,,,,52421400.0,ns,9
depth 5,,,,,51746301.0,ns,9
depth 5,,,,,57012526.0,ns,9
depth 5,,,,,50491052.0,ns,9
depth 5,,,,,54630502.0,ns,9
depth 5,,,,,49918770.0,ns,9
depth 5,,,,,57774434.0,ns,9
depth 5,,,,,51053065.0,ns,9
depth 5,,,,,53453413.0,ns,9
depth 5,,,,,53266371.0,ns,9
depth 5,,,,,52017218.0,ns,9
depth 5,,,,,46712977.0,ns,9
depth 5,,,,,50463923.0,ns,9
depth 5,,,,,56086594.0,ns,9
depth 5,,,,,50205130.0,ns,9
depth 5,,,,,49329092.0,ns,9
depth 5,,,,,43604979.0,ns,9
depth 5,,,,,49956702.0,ns,9
depth 5,,,,,50474033.0,ns,9
depth 5,,,,,55650051.0,ns,9
depth 5,,,,,49679011.0,ns,9
depth 5,,,,,48421287.0,ns,9
depth 5,,,,,48370763.0,ns,9
depth 5,,,,,56750639.0,ns,9
depth 5,,,,,50708153.0,ns,9
depth 5,,,,,57401376.0,ns,9
depth 5,,,,,48263684.0,ns,9
depth 5,,,,,53610818.0,ns,9
depth 5,,,,,53165123.0,ns,9
depth 5,,,,,53541255.0,ns,9
depth 5,,,,,48738682.0,ns,9
depth 5,,,,,51753001.0,ns,9
depth 5,,,,,54978545.0,ns,9
depth 5,,,,,49533235.0,ns,9
depth 5,,,,,57017843.0,ns,9
depth 5,,,,,52685420.0,ns,9
depth 5,,,,,57152414.0,ns,9
depth 5,,,,,51371599.0,ns,9
depth 5,,,,,47874974.0,ns,9
depth 5,,,,,51397007.0,ns,9
depth 5,,,,,51173262.0,ns,9
depth 5,,,,,53368912.0,ns,9
depth 5,,,,,53458604.0,ns,9
depth 5,,,,,55654306.0,ns,9
depth 5,,,,,52454884.0,ns,9
depth 5,,,,,48008827.0,ns,9
depth 5,,,,,51015597.0,ns,9
depth 5,,,,,58237404.0,ns,9
depth 5,,,,,49203663.0,ns,9
depth 5,,,,,54032144.0,ns,9
depth 5,,,,,49455461.0,ns,9
depth 5,,,,,58328062.0,ns,9
depth 5,,,,,43300730.0,ns,9
depth 5,,,,,55132630.0,ns,9
depth 5,,,,,51825203.0,ns,9
depth 5,,,,,52623928.0,ns,9
depth 5,,,,,46163706.0,ns,9
depth 5,,,,,49996999.0,ns,9
depth 5,,,,,51794878.0,ns,9
depth 5,,,,,44169723.0,ns,9
